id,corpus_id,wclines,wcwords,wcbytes
431,5,,,
432,5,,,
433,5,,,
434,5,,,
435,5,,,
436,5,,,
437,5,,,
438,5,,,
439,5,,,
440,5,,,
441,5,,,
442,5,,,
443,5,,,
684,7,198,1073,6775
685,7,86,639,4290
686,7,59,1073,6788
687,7,86,2337,15426
688,7,63,1824,11630
689,7,417,3421,19732
690,7,103,680,4875
691,7,396,2062,11841
692,7,827,4361,32215
693,7,362,5036,30689
694,7,406,3418,21353
695,7,44,776,4642
696,7,919,5436,38548
697,7,959,4762,27488
698,7,130,2047,13181
699,7,486,2536,22433
701,7,149,4622,25744
702,7,910,4864,34531
703,7,226,2135,17528
706,7,387,988,7869
707,7,88,2173,13511
708,7,244,2961,18124
709,7,281,1880,13939
710,7,103,1176,7941
712,7,106,1351,8297
713,7,144,1225,7117
714,7,443,5186,31474
715,7,179,2565,15387
716,7,1105,5950,34813
717,7,296,2251,14265
718,7,151,1863,10249
719,7,709,5009,36732
720,7,568,1676,10200
721,7,172,5909,38106
722,7,344,5062,31181
723,7,373,2059,11948
724,7,110,654,6828
725,7,233,880,5547
726,7,39,669,3731
727,7,247,1993,13323
728,7,790,3553,26908
729,7,323,1038,6770
730,7,122,1589,8998
731,7,624,1887,13546
732,7,314,3974,22671
733,7,192,1034,5991
734,7,153,1154,7129
735,7,324,1222,7488
736,7,153,962,5764
737,7,227,1189,6972
738,7,76,3255,20305
739,7,19,737,4730
740,7,316,770,5775
741,7,34,966,5935
742,7,37,2312,14163
743,7,88,1190,7340
744,7,92,990,5962
745,7,229,585,4556
746,7,797,4115,43902
747,7,84,4033,25281
748,7,297,1512,10662
749,7,33,573,3180
750,7,316,1518,8336
751,7,105,4753,26256
752,7,79,2780,16644
753,7,245,603,3651
754,7,293,3917,24088
755,7,102,2065,12320
756,7,134,3895,25646
757,7,41,708,4537
758,7,121,1885,10250
759,7,203,5410,33941
760,7,153,2195,13684
762,7,591,1698,10908
763,7,79,632,4727
764,7,771,3120,18131
765,7,20,715,3963
766,7,103,5417,27529
767,7,10,757,4269
768,7,46,752,4207
769,7,19,1253,7638
770,7,313,2025,12837
771,7,352,781,5348
772,7,54,533,2935
773,7,87,1306,7943
774,7,565,3108,22771
775,7,482,3776,32171
777,7,316,4115,25661
778,7,301,2839,18467
779,7,221,1899,11125
780,7,130,2661,17741
781,7,17,537,3303
782,7,69,1305,7742
783,7,20,1169,7032
784,7,156,2509,14816
785,7,88,4481,24492
786,7,93,1291,7474
787,7,340,3726,23703
788,7,349,3508,19861
789,7,81,599,3862
790,7,200,1013,6001
791,7,164,3023,19770
792,7,59,738,4485
793,7,173,772,3888
794,7,59,1341,8694
795,7,331,5372,35426
796,7,104,611,4345
797,7,416,2009,15659
798,7,340,5029,28122
799,7,171,2168,12592
800,7,150,533,3020
801,7,100,4516,27819
802,7,52,640,3667
803,7,92,1490,9820
804,7,41,585,3253
805,7,228,1861,10426
806,7,32,509,3423
807,7,261,1086,6470
808,7,134,1580,9302
809,7,232,3563,20010
810,7,306,4827,27499
811,7,274,3196,19298
812,7,100,4192,23190
814,7,127,1231,8225
815,7,355,2832,17330
816,7,39,1022,6505
817,7,15,638,4070
819,7,24,713,3972
820,7,201,1287,7713
821,7,24,725,4651
822,7,436,1184,8430
823,7,1678,3675,21135
824,7,142,850,5267
825,7,111,1160,7090
826,7,78,635,4199
827,7,107,585,4511
828,7,239,2648,18412
829,7,40,943,5495
830,7,123,1772,10209
831,7,445,854,5433
832,7,341,1945,12102
833,7,112,1816,10917
834,7,108,1151,7422
835,7,64,686,4355
836,7,147,4854,27704
837,7,87,501,5409
838,7,413,1927,13361
839,7,25,755,4638
840,7,65,1222,7537
841,7,132,4238,24931
842,7,63,1105,7280
843,7,101,4514,24757
844,7,97,993,5819
845,7,343,1709,10350
846,7,72,934,5772
847,7,120,1942,11232
848,7,110,1629,9772
849,7,59,647,3682
850,7,32,968,6011
852,7,187,4247,25153
853,7,203,3716,23824
854,7,121,4113,25142
855,7,222,1566,9266
856,7,107,1185,8170
857,7,124,1292,8420
858,7,130,752,4378
859,7,48,760,4700
860,7,101,689,4476
861,7,300,3493,21531
862,7,194,1002,5686
863,7,77,571,3381
865,7,93,2743,15540
866,7,330,1831,10250
867,7,85,1133,6266
868,7,190,1871,11633
869,7,128,1838,10103
870,7,453,2479,16579
871,7,95,924,5337
872,7,106,2781,16615
873,7,107,2450,14696
874,7,596,2948,17043
875,7,368,3348,19698
876,7,68,823,4689
877,7,184,596,4169
878,7,29,1246,7903
879,7,48,3241,19698
880,7,44,671,3809
881,7,137,4609,25376
882,7,46,4600,25986
883,7,243,855,5591
884,7,86,1300,8791
885,7,394,1400,9233
887,7,37,999,5538
888,7,41,755,4578
889,7,33,1450,8669
890,7,59,626,4346
891,7,300,510,3746
892,7,112,1396,8146
893,7,31,1822,10574
894,7,121,1282,7807
895,7,120,2282,14212
896,7,202,2962,17589
898,7,1190,3540,25413
899,7,32,1410,8145
900,7,81,1727,10374
901,7,219,1424,8262
902,7,241,1638,10233
903,7,324,2556,16513
904,7,172,724,5123
905,7,475,2697,20437
906,7,216,5264,47310
907,7,82,4558,28288
908,7,386,2074,12512
909,7,682,2193,15606
910,7,23,544,3481
911,7,109,1435,9788
912,7,74,601,4180
913,7,346,1273,8111
914,7,245,911,6082
915,7,774,3534,27107
916,7,27,874,5151
917,7,99,1748,11783
918,7,435,904,6620
919,7,205,1755,11889
920,7,13,666,4006
921,7,161,3744,22150
922,7,740,3570,27524
923,7,49,851,5364
924,8,,,
925,8,,,
926,8,,,
927,8,,,
928,8,,,
929,8,,,
930,8,,,
931,8,,,
932,8,,,
933,8,,,
934,8,,,
935,8,,,
936,8,,,
937,8,,,
938,8,,,
939,8,,,
940,8,,,
941,8,,,
942,8,,,
943,8,,,
944,8,,,
945,8,,,
946,8,,,
947,8,,,
948,8,,,
949,8,,,
950,8,,,
951,8,,,
952,8,,,
953,8,,,
954,8,,,
955,8,,,
956,8,,,
957,8,,,
958,8,,,
959,8,,,
960,8,,,
961,8,,,
962,8,,,
963,8,,,
964,8,,,
965,8,,,
966,8,,,
967,8,,,
968,8,,,
969,8,,,
970,8,,,
971,8,,,
972,8,,,
973,8,,,
974,8,,,
975,8,,,
976,8,,,
977,8,,,
978,8,,,
979,8,,,
980,8,,,
981,8,,,
982,8,,,
983,8,,,
984,8,,,
985,8,,,
986,8,,,
987,8,,,
988,8,,,
989,8,,,
990,8,,,
991,8,,,
992,8,,,
993,8,,,
994,8,,,
995,8,,,
996,8,,,
997,8,,,
998,8,,,
999,8,,,
1000,8,,,
1001,8,,,
1002,8,,,
1003,8,,,
1004,8,,,
1005,8,,,
1006,8,,,
1007,8,,,
1008,8,,,
1009,8,,,
1010,8,,,
1011,8,,,
1012,8,,,
1013,8,,,
1014,8,,,
1015,8,,,
1016,8,,,
1017,8,,,
1018,8,,,
1019,8,,,
1020,8,,,
1021,8,,,
1022,8,,,
1023,8,,,
1024,8,,,
1025,8,,,
1026,8,,,
1027,8,,,
1028,8,,,
1029,8,,,
1030,8,,,
1031,8,,,
1032,8,,,
1033,8,,,
1034,8,,,
1035,8,,,
1036,8,,,
1037,8,,,
1038,8,,,
1039,8,,,
1040,8,,,
1041,8,,,
1042,8,,,
1043,8,,,
1044,8,,,
1045,8,,,
1046,8,,,
1047,8,,,
1048,8,,,
1049,8,,,
1050,8,,,
1051,8,,,
1052,8,,,
1053,8,,,
1054,8,,,
1055,8,,,
1056,8,,,
1057,8,,,
1058,9,106,3030,16205
1059,9,79,552,3317
1060,9,160,1916,10639
1061,9,72,502,3066
1062,9,124,879,5500
1063,9,427,5283,35562
1064,9,261,1050,6299
1065,9,232,2116,11316
1066,9,621,5863,34928
1067,9,197,2376,13082
1068,9,166,3091,20878
1069,9,132,740,4916
1070,9,127,1959,11566
1071,9,112,717,4403
1072,9,221,1834,11588
1073,9,986,3717,21242
1074,9,289,3319,20212
1075,9,9,771,4418
1076,9,74,2559,14340
1077,9,238,532,3268
1078,9,65,1255,7655
1079,9,161,3072,17982
1080,9,40,3903,25582
1081,9,215,1188,6913
1082,9,94,1089,6713
1083,9,179,1320,7702
1084,9,161,1291,8364
1085,9,134,2031,14833
1086,9,210,2533,16650
1087,9,438,2343,14136
1088,9,584,3327,20196
1089,9,32,582,3443
1090,9,170,772,5361
1091,9,512,2149,12677
1092,9,55,1801,10740
1093,9,309,4488,26250
1094,9,286,4349,29517
1095,9,156,1659,12353
1096,9,94,1087,6583
